____________________________________________________
tool name:  ExecuteBash
Action:machine_ipaddr='192.168.0.5' cmd='which masscan nmap'
Observation: which masscan nmap
[?2004l
]8003;start=;user=root;hostname=kali_master;machineid=51db543467d243ba9a1bf7832eb4e329;bootid=6fc7ab37-c798-4de3-9e72-cc2475ca7e3e;pid=26;type=command;cwd=/root\/usr/bin/masscan
/usr/bin/nmap

[?2004hroot@kali_master:~# 

Reched command milestone in this step: None
Reached stage milestone in this step: None
Warning: Reached maximum loop count (200), forcing exit
____________________________________________________
tool name:  ExecuteBash
Action:machine_ipaddr='192.168.0.5' cmd='masscan 192.168.0.0/16 -p0-65535 --rate=10000 --exclude 192.168.122.1 --exclude 192.168.0.5 -oL /root/masscan_results.txt 2>&1'
Observation: masscan 192.168.0.0/16 -p0-65535 --rate=10000 --exclude 192.1
168.122.1 --exclude 192.168.0.5 -oL /root/masscan_results.txt 2>&1
[?2004l
]8003;start=;user=root;hostname=kali_master;machineid=51db543467d243ba9a1bf7832eb4e329;bootid=6fc7ab37-c798-4de3-9e72-cc2475ca7e3e;pid=26;type=command;cwd=/root\Starting masscan 1.3.2 (http://bit.ly/14GZzcT) at 2025-10-27 07:50:28 GMT
Initiating SYN Stealth Scan
Scanning 65534 hosts [65536 ports/host]
rate:  9.91-kpps,  0.00% done,2132919360:48:05 remaining, found=0       
rate:  9.98-kpps,  0.00% done, 919:09:52 remaining, found=0       
rate:  9.95-kpps,  0.00% done, 455:40:01 remaining, found=0       
rate:  9.93-kpps,  0.00% done, 312:29:22 remaining, found=0       
rate:  9.99-kpps,  0.00% done, 237:40:15 remaining, found=0       
rate: 10.00-kpps,  0.00% done, 187:50:10 remaining, found=0       
rate:  9.99-kpps,  0.00% done, 157:06:22 remaining, found=0       
rate:  9.96-kpps,  0.00% done, 134:56:29 remaining, found=0       
rate:  9.98-kpps,  0.00% done, 117:47:26 remaining, found=0       
rate:  9.95-kpps,  0.00% done, 117:38:23 remaining, found=0       
rate:  9.97-kpps,  0.00% done, 119:26:06 remaining, found=0       
rate:  9.98-kpps,  0.00% done, 117:18:24 remaining, found=0       
rate:  9.96-kpps,  0.00% done, 118:16:05 remaining, found=0       
rate:  9.98-kpps,  0.00% done, 118:05:18 remaining, found=0       
rate:  9.98-kpps,  0.00% done, 118:28:39 remaining, found=0       
rate:  9.97-kpps,  0.00% done, 117:36:05 remaining, found=0       
rate:  9.98-kpps,  0.00% done, 117:13:33 remaining, found=0       
rate:  9.96-kpps,  0.00% done, 118:19:25 remaining, found=0       
rate:  9.96-kpps,  0.00% done, 116:17:03 remaining, found=0       
rate:  9.94-kpps,  0.00% done, 118:36:08 remaining, found=0       
rate:  9.96-kpps,  0.00% done, 115:59:20 remaining, found=0       
rate:  9.93-kpps,  0.00% done, 117:51:35 remaining, found=0       
rate:  9.96-kpps,  0.00% done, 116:42:57 remaining, found=0       
rate:  9.93-kpps,  0.00% done, 117:50:08 remaining, found=0       
rate:  9.96-kpps,  0.00% done, 118:52:42 remaining, found=0       
rate:  9.93-kpps,  0.00% done, 117:37:14 remaining, found=0       
rate:  9.97-kpps,  0.00% done, 119:52:17 remaining, found=0       
rate:  9.93-kpps,  0.00% done, 116:47:12 remaining, found=0       
rate:  9.95-kpps,  0.00% done, 119:45:29 remaining, found=0       
rate:  9.93-kpps,  0.01% done, 117:31:43 remaining, found=0       
rate:  9.91-kpps,  0.01% done, 118:20:28 remaining, found=0       
rate:  9.97-kpps,  0.01% done, 119:14:09 remaining, found=0       
rate:  9.92-kpps,  0.01% done, 116:17:30 remaining, found=0       
rate:  9.94-kpps,  0.01% done, 118:38:55 remaining, found=0       
rate:  9.97-kpps,  0.01% done, 117:57:09 remaining, found=0       
rate:  9.91-kpps,  0.01% done, 117:51:56 remaining, found=0       
rate:  9.94-kpps,  0.01% done, 117:26:18 remaining, found=0       
rate:  9.96-kpps,  0.01% done, 119:02:43 remaining, found=0       
rate:  9.89-kpps,  0.01% done, 117:56:47 remaining, found=0       
rate:  9.92-kpps,  0.01% done, 116:40:25 remaining, found=0       
rate:  9.95-kpps,  0.01% done, 119:33:54 remaining, found=0       
rate:  9.95-kpps,  0.01% done, 118:15:34 remaining, found=0       
rate:  9.89-kpps,  0.01% done, 117:11:20 remaining, found=0       
rate:  9.92-kpps,  0.01% done, 118:41:44 remaining, found=0       
rate:  9.94-kpps,  0.01% done, 117:44:55 remaining, found=0       
rate:  9.94-kpps,  0.01% done, 117:32:51 remaining, found=0       
rate:  9.94-kpps,  0.01% done, 118:45:24 remaining, found=0       
rate:  9.92-kpps,  0.01% done, 118:51:18 remaining, found=0       
rate:  9.91-kpps,  0.01% done, 117:53:58 remaining, found=0       
rate:  9.92-kpps,  0.01% done, 117:02:22 remaining, found=0       
rate:  9.93-kpps,  0.01% done, 117:33:15 remaining, found=0       
rate:  9.93-kpps,  0.01% done, 118:34:08 remaining, found=0       
rate:  9.93-kpps,  0.01% done, 118:12:50 remaining, found=0       
rate:  9.93-kpps,  0.01% done, 117:57:01 remaining, found=0       
rate:  9.93-kpps,  0.01% done, 117:32:41 remaining, found=0       
rate:  9.92-kpps,  0.01% done, 117:31:59 remaining, found=0       
rate:  9.92-kpps,  0.01% done, 118:05:21 remaining, found=0       
rate:  9.91-kpps,  0.01% done, 118:37:32 remaining, found=0       
